sexe;age;enfants;CSP;profession;secteur;TailleStructure;responsabilites;salaire;valeurs;DefinitionEthique;confrontation;ImportanceEthique;VisionEthique;ActionContreEthique;ExistenceCodeEthique;ExistenceMomentDebat
2;44;3;4;Assistante sociale;2;1;0;1800;1, 3, 5, 7;1;1;9;1;1;1;1
1;50;3;2;Gerant;2;4;1;2300;1, 5, 7, 6;1;3;9;1;2;2;2
2;24;0;2;Auto entrepreneuse;NA;4;0;700;1, 3, 5, 7;1;NA;9;1;1;NA;2
2;51;3;4;Professeur;1;1;0;2200;1, 5, 7, 3, 6;1;1;10;2;2;2;1
1;26;0;5;techniciens de maintenance;2;3;0;1400;1;2;1;7;2;NA;NA;NA
1;19;0;5;preparateur de commande ;2;3;0;400;4, 1, 3, 5, 6, 2, 7, 8;2;1;9;1;2;1;2
1;52;3;3;Chercheur;2;2;0;4000;4, 1, 7, 8;1;1;5;2;2;2;1
2;50;3;4;professeur;1;1;0;2200;1, 2, 6, 7, 4;1;2;10;2;2;2;1
2;45;3;5;Comptable;2;3;0;1800;5, 7, 3, 6;1;1;8;1;2;1;3
2;55;3;4;Gestionnaire de cabinet, salariee;2;4;0;1800;1, 5, 7, 3;1;1;10;1;2;1;1
1;48;3;3;Expert comptable ;2;4;1;4500;2, 3, 5, 7;1;1;9;1;2;1;1
2;28;0;NA;Infirmiere;1;2;1;1700;1, 3, 4, 8;1;1;5;3;1;1;1
1;25;0;5;Cuisinier;2;4;0;1200;2, 1, 3, 5;1;2;5;3;2;2;2
2;37;1;5;adjoint technique;1;2;1;1400;5, 7, 4, 3, 1;1;2;8;3;2;1;2
1;42;0;3;Responsable Methodes;2;2;2;2500;1, 5, 4, 7;1;1;9;1;2;1;1
2;39;3;4;assistante sociale;2;2;0;1600;1, 5, 6, 7;2;1;10;2;2;3;2
2;35;0;3;Assistante sociale ;2;2;0;1900;1, 4, 5, 6;2;1;7;2;2;2;1
2;49;0;3;Fonctionnaire;1;2;0;2500;5, 1, 2, 6;2;2;8;2;2;1;1
2;40;2;3;Conseillere Technique;2;2;0;1900;3, 1, 5, 7;NA;1;8;2;1;2;2
2;25;0;5;Assistante sociale;2;2;0;1500;1, 4, 6, 2;1;1;8;1;2;3;1
1;60;2;3;Responsable service informatique;2;3;1;NA;3, 7, 1, 5;1;1;8;1;2;2;3
1;59;2;3;Enseignant Formateur Universite de Bordeaux (metiers du Sport STAPS);1;2;4;3000;3, 4, 6, 7, 2;1;1;7;3;2;2;2
2;52;3;5;Chargee de marches publics;1;2;0;2100;2, 1, 5, 3, 7, 6;1;1;9;2;1;2;2
1;51;3;5;Assistant fonctionnel d'une application informatique;1;2;0;2300;3, 7, 1, 5, 2, 6, 8, 4;1;1;7;2;2;2;2
2;63;2;4;masseur-kinesitherapeute;2;4;1;2400;3, 1, 6, 7;1;1;9;2;2;1;1
1;53;3;4;Responsable d'equipe technique;1;2;1;2000;7, 5, 4;1;1;8;2;3;2;1
1;54;2;5;Educateur territorial;1;4;1;2400;3, 1, 4, 5;1;1;9;NA;2;1;1
2;45;2;5;Responsable service finances;1;2;1;1900;1, 2, 4, 7;1;3;8;1;2;2;1
2;50;2;3;cadre superieur;1;2;2;3200;1, 5, 7, 4;1;1;8;1;2;1;1
2;45;1;5;Redacteur territorial;1;2;0;1900;5, 7, 1, 6;2;2;8;2;2;1;2
2;53;0;3;pharmacien;2;4;1;2400;1, 5, 3, 7, 8;1;3;7;1;2;2;2
1;38;0;5;Conseiller Technique de Ligue;2;4;0;1700;2, 5, 6, 1, 7, 4, 3, 8;1;1;10;1;1;2;1
2;56;2;3;cadre territorial;1;2;2;2600;2, 1, 7, 4, 6, 3, 8, 5;2;1;5;3;1;3;2
1;36;1;3;Charge de recette;NA;2;0;1600;3, 4, 1, 7;1;1;8;NA;2;1;2
2;45;1;5;Redacteur territorial;1;2;0;1900;5, 7, 1, 6;1;2;8;1;2;1;2
1;43;2;3;Chef de service de police municipale;1;2;2;2000;3, 7, 1, 2;1;1;10;1;2;1;2
2;53;1;5;Comptable;2;3;1;2200;7, 1, 6, 4;1;1;8;2;1;2;1
2;42;2;5;Adjoint Administratif ;1;2;0;1600;1, 4, 6, 2;1;2;8;2;2;3;2
1;58;1;3;Directeur de projets;2;1;0;4500;5, 7, 3, 8, 1;1;1;10;1;2;1;1
2;52;1;5;Approvisionneuse supply chain;2;2;0;2000;1, 4, 8, 7;1;1;7;2;1;1;1
2;42;1;5;secretaire;1;2;0;1500;1, 2, 5, 7;1;1;9;NA;2;1;1
2;49;3;5;Fonctionnaire territorial;1;2;0;1500;5, 2, 4, 1, 8;1;3;9;2;3;2;2
1;52;1;6;Responsable expedition;2;3;1;1600;1, 4, 6, 7;1;1;10;2;1;1;1
2;57;1;5;Comptable;2;2;0;2000;1, 7, 5, 3, 4;1;1;8;3;2;2;2
1;44;3;4;Coordinateur de projet;2;2;2;3000;1, 4, 5, 7, 3, 2, 6, 8;2;1;10;1;2;1;1
2;47;2;4;Qualiticienne;2;2;1;2100;3;2;1;7;NA;1;1;2
2;32;1;5;Agent administratif (Service ressources humaines);1;2;0;1400;1, 7, 5, 6;1;2;8;1;2;1;2
2;47;0;4;Fonctionnaire;1;2;1;1800;1, 5, 6, 8;1;1;10;2;1;2;1
1;57;2;5;agent de salubrite territorial;1;3;1;1700;NA;1;1;8;2;2;1;1
2;25;0;5;Serveuse;1;3;0;1100;NA;1;3;NA;3;3;3;1
2;46;2;4;Assistante sociale;2;3;0;1800;2, 1, 7, 3;2;1;10;1;2;1;1
1;42;0;5;fonctionnaire;1;2;0;1700;1, 5, 6;2;1;10;2;2;1;2
2;53;0;5;educatrice;1;3;0;NA;1, 6, 4, 2;1;1;NA;2;1;2;2
1;30;0;5;Maitre d'hotel;2;4;1;1500;1, 3, 4, 5;1;1;8;2;1;2;2
1;60;2;3;ingenieur;2;1;1;6500;3, 5, 7, 2;1;2;10;1;2;1;2
2;53;2;3;Medecin;2;2;0;5000;1, 5, 3, 6;1;1;8;2;2;1;1
2;29;0;5;Infirmiere;1;1;1;1700;1, 3, 4, 7, 2, 6, 5, 8;2;1;10;3;1;1;1
1;25;0;3;ARC;1;2;0;400;1, 2, 3, 7;1;1;9;1;2;1;1
1;51;3;3;Ingenieur;2;1;2;NA;5, 3, 2, 1, 7;1;1;8;1;2;1;1
2;24;0;4;Mediatrice culturelle;2;3;0;800;4, 2, 1, 6, 7;1;1;10;2;1;1;2
1;50;2;3;Formateur;2;3;0;4000;1, 4, 7, 6;1;1;7;3;1;1;2
2;46;2;5;Cobseillere emploi;2;1;0;2200;1, 7, 2, 5;1;1;8;3;2;3;1
2;51;4;3;Enseignant;1;3;2;3000;1, 5, 6, 4;2;1;9;1;1;1;1
1;51;2;3;directeur technique;2;1;3;5000;1, 6, 3, 5;1;1;10;1;2;1;1
1;47;3;3;Personnel de direction;1;3;4;4000;2, 1, 6, 5, 4, 3;1;1;9;2;2;1;1
2;47;3;3;professeur;1;3;1;2200;1, 8, 3, 2;1;1;7;1;2;2;1
2;40;3;5;Assistante de Vie Scolaire (AESH);1;3;1;600;3, 1, 2, 5;1;2;7;1;2;1;3
2;49;2;5;Aide soignante;2;3;0;1400;4, 1, 7, 8;1;1;9;1;3;1;1
2;48;1;3;Ingenieur etudes;1;1;0;NA;5, 7, 1, 3;2;2;8;1;2;1;1
2;51;2;3;pharmacienne;2;4;1;1900;1, 3, 5, 6;1;1;9;1;1;1;2
2;46;2;3;Enseignante;2;2;1;5500;1, 7, 5, 2, 4, 3;2;1;10;1;2;1;1
2;53;2;5;comptable;2;3;0;1800;5, 1, 7, 2;1;2;9;3;1;2;2
1;57;2;4;Expert comptable salarie;2;2;0;2400;2, 3, 7, 8;1;1;10;1;1;1;2
2;50;3;3;Responsable Clientele (Sales Account Manager);2;1;0;4700;7, 1, 3, 2;2;1;9;1;2;1;1
1;22;0;5;Assistant d education;1;3;0;1100;NA;1;3;7;3;3;3;3
1;29;1;6;Mecanicien ouvrier d'etat;1;2;1;1900;2, 7, 1, 6, 3, 4, 5, 8;2;1;10;2;1;1;2
1;51;3;3;ingenieur logistique;2;1;0;4500;3, 7, 8, 2;NA;1;10;1;2;1;1
1;20;0;5;Technicien SAV en protection incendie ;2;2;1;1500;3, 5, 7;2;1;5;1;1;1;2
2;52;3;3;cadre;2;2;0;5300;3, 1, 5, 4;1;3;10;1;2;1;2
1;48;3;3;Charge d'affaires bureau etude ingenierie ;2;4;1;3500;3, 2, 1, 7;2;2;4;3;2;2;2
1;61;2;2;Chef d'entreprise;1;4;0;1400;1, 5, 3, 2, 7;1;1;9;1;2;2;2
1;34;2;5;manager de rayon;2;3;1;1400;1, 7, 5, 2;NA;2;8;3;2;2;2
1;52;3;3;Pilote de ligne;2;1;1;12000;3, 5, 7, 1;1;2;10;1;2;1;1
1;34;3;5;conseiller de gestion;2;2;0;2000;1, 5, 3, 7;1;1;8;1;1;1;1
2;27;0;5;Comptable;2;2;0;1400;1, 7, 5, 2;1;NA;9;1;2;1;NA
2;31;0;3;juriste d'entreprise;2;3;1;1500;3, 1, 2, 7;2;1;7;2;1;1;NA
2;25;0;4;sage-femme;1;2;1;1800;1, 3, 8, 4;1;1;8;1;2;1;1
1;26;0;5;Dessinateur industriel en chaudronnerie ;2;3;0;1900;1, 7, 4, 5;1;2;9;2;3;3;2
2;28;0;4;Preparateur en pharmacie hospitaliere;1;1;0;1600;1, 4, 3, 2, 7, 5, 6, 8;1;2;10;3;2;1;1
1;25;0;3;Charge d'etudes economiques;1;3;0;1400;7, 3, 5, 1;1;2;9;2;2;1;1
2;43;3;5;agent territorial;1;3;0;1200;1, 5, 4, 8;1;1;8;1;2;1;2
1;51;2;4;Projeteur en electricite;2;NA;0;3000;5, 7, 3, 1;1;1;7;3;1;1;2
2;50;4;4;NA;2;3;0;1300;3, 7, 5, 1;2;1;9;2;2;1;1
1;69;1;7;chef comptable ;2;NA;NA;NA;3;2;2;8;1;2;1;1
1;49;3;3;ingenieur;2;1;0;3800;1, 7, 5, 4;1;1;6;1;2;1;1
1;30;0;3;Architecte;1;3;1;2300;1, 7, 5, 3, 2, 4, 6, 8;1;1;8;2;1;1;1
1;45;3;3;UX Designer;2;2;0;3300;1, 5, 8, 6;2;1;9;2;1;2;1
2;48;3;3;Maitre de conferences;1;1;NA;3200;1, 5, 4;1;1;8;NA;2;1;1
2;46;3;3;Enseignant;1;1;2;2300;1, 3, 7, 4;1;1;8;2;1;3;2
1;26;0;3;Ingenieur ;2;3;0;NA;7, 1, 5, 4;1;3;6;3;2;3;1
2;49;2;3;Cadre de banque ;2;2;4;4000;7, 3, 1, 2;1;1;8;1;2;1;1
1;46;3;4;infirmier liberal ;2;4;0;6000;3, 8, 7, 5;2;1;6;1;1;2;2
2;50;2;5;Hotesse de caisse;2;2;0;1000;5, 1, 3, 7;1;3;7;2;2;1;1
2;23;0;4;Professeur;1;3;0;1500;1, 7, 3, 5;2;1;10;1;2;1;3
1;58;2;5;Agent de maitrise;2;2;1;2600;1, 3, 4, 5, 7;1;1;4;1;2;1;1
2;31;0;5;Conseiller emploi;2;3;0;1400;7, 1, 2, 5;2;1;8;2;1;2;2
